text,label
you are ,0
you re nice guy said ,0
Lauren ,1
car ,1
yes ,1
c t ,1
k ,1
e ,1
e a ,1
car ,1
bus ,1
ka ,1
please ,1
yeah ,1
bee bunny ,1
beach ,1
hi ,1
ah ,1
ah ,1
b ,1
byebye ,1
ah ,1
y ,1
v ,1
b ,1
eight ,1
nine ,1
ride ,1
ah ,1
byebye ,1
train ,1
pull train ,1
hug ,1
byebye ,1
manatee ,1
choo ,1
tunnel ,1
bat ,1
hi ,1
house ,1
woof ,1
hi ,1
s geen ,1
tur ,1
truck ,1
train ,1
hat ,1
too ,1
truck ,1
truck ,1
mm m ,1
hi ,1
daui ,1
d ,1
laun ,1
ah ,1
ah ,1
ooh ,1
hi ,1
oh oh ,1
oh ,1
up ,1
bl ,1
out pis ,1
ei ,1
ei ei ,1
x ,1
kwizhish ei ,1
ihai ,1
baw ,1
neigh ,1
t ,1
t ,1
 pi ,1
x x ,1
x ,1
yeah ,0
mm ,0
it bounced into the box ,0
yeah ,0
no ,0
well have b b l have home ,0
yeah ,0
I have three balls ,0
I don have blue ball ,0
red and blue ,0
those are the little balls have ,0
 they re little ,0
no ,0
we just throw them around ,0
 hu ,0
oops ,0
mommy did ,0
and daddy ,0
ugh ,0
ugh ,0
 ai friends is Sophie ,0
 my friend ,0
in her house ,0
yeah ,0
I have to drive on on the road in my car ,0
car ,0
when get bigger drive in my own car ,0
yeah ,0
five ,0
when get bigger ,0
 want red car ,0
no it goes slower ,0
yeah ,0
mm ,0
Elmo ,0
this car is so cute ,0
no ,0
Elmo has car like this ,0
Ernie ,0
Burt ,0
Big Bird ,0
Burt has the letter and Ernie has the letter ,0
no ,0
mhm ,0
when someone gets in my way ,0
that when someone gets in my way turn right ,0
like this ,0
mhm ,0
mhm ,0
I see train ,0
ball ,0
I play with my own ball ,0
I have purple one ,0
it a big one ,0
mm yeah ,0
yep ,0
mm nope ,0
when m three m little ,0
then m big ,0
like Adrian ,0
I going to be five like Adrian too ,0
five ,0
yeah ,0
Adrian five more ,0
she still five ,0
it bounced on my knee ,0
 m going to go on the bus ,0
that when m five ,0
ugh can reach it ,0
uhoh ,0
mm yeah ,0
I going to go to my school ,0
yeah ,0
are you sure do you have bouncy ball at your house ,0
oh ,0
mhm ,0
oh ,0
how old are you ,0
 can guess ,0
bounce higher ,0
whoa ,0
I don know ,0
mm think ,0
yeah ,0
I think you re twenty ,0
I think you re seven ,0
ten ,0
I don know ,0
get my hair out the way ,0
my hair gets in the way ,0
when it windy ,0
no ,0
I don like it too ,0
it too cold ,0
yep ,0
do you ,0
sometimes ,0
falling ,0
I like little snowflakes ,0
yeah ,0
we make snowman and snow walls ,0
you you put the little on top and and the big on bottom and the medium on the middle ,0
a hat on his head ,0
mhm ,0
he needs scarf ,0
that it ,0
yeah ,0
ugh ,0
I red sweater ,0
yeah ,0
no it hot ,0
it hot ,0
when the sun came up ,0
it comes up when it hot ,0
yeah ,0
I not hot in the sun ,0
well m only three ,0
yellow ,0
it turns colors when it yellow ,0
uhoh ,0
uhoh ,0
yeah ,0
I will ,0
uhoh ,0
uhoh ,0
that what the Teletubbies say ,0
uhoh ,0
uhoh ,0
uhoh ,0
I think ,0
a ball ,0
no ,0
we didn play with that last year when was here ,0
daddy work has ball in it ,0
daddy work has ball in it ,0
 blue ,0
yeah ,0
uhoh ,0
I can do pretzel legs ,0
yeah ,0
yeah ,0
you can do that ,0
we can do this one too ,0
 sitting ,0
we can do this one ,0
and do this one too ,0
yeah ,0
yeah ,0
these are new ones ,0
yeah ,0
Adrian goes on the little bus ,0
when someone gets in the bus way then he turns left ,0
no ,0
that what the gopher said ,0
gopher ,0
 the one in ,0
hundred acre wood ,0
and he say ,0
hold everything ,0
he has map in in his hat ,0
no his helmet ,0
he has helmet ,0
yeah ,0
you read it ,0
it tell you when we are ,0
no ,0
uhoh ,0
uhoh ,0
yeah ,0
there a helmet in here ,0
mm ,0
no ,0
what was that noise ,0
yeah ,0
what is this for ,0
puppet ,0
a puppet bee ,0
what ,0
what ,0
makes honey ,0
yeah makes honey ,0
what what is this what is this ,0
steering wheel ,0
why these can move ,0
why these can move ,0
is this for looking in the ,0
hey here Oscar ,0
Cookie Monster ,0
Big Bird ,0
you turn on the light and he upside down ,0
ha he upside down ,0
where did you where did you get this car from ,0
vroom ,0
this is guy that sleeps ,0
happy sleepy happy ,0
and what is this ,0
this is for holding onto ,0
and could do this to walk it ,0
yeah ,0
oh ,0
oh trapped ,0
oh it stuck m gonna catch you ,0
the train is broken ,0
it behind you again ,0
hey stop ,0
what this for ,0
a hammer ,0
and and saw ,0
hammer just fixing things ,0
what this ,0
another truck ,0
yeah the bigger truck ,0
yeah firetruck number ten ,0
why this doesn make any sound ,0
car broken ,0
now he can do it ,0
what is this for ,0
shapes ,0
shapes go in there ,0
and this something ,0
dog let see star and sheep ,0
what this ,0
is this Mickey house ,0
this is Mickey house ,0
yeah ,0
no ,0
this is where m walking ,0
I walking the blocks ,0
that doesn look like ,0
doesn look like it ,0
it a builder man ,0
it for building ,0
it like builder man ,0
what this big block for ,0
yeah think it does ,0
yeah ,0
hey where my eye where my eye where my eye ,0
here my eye ,0
there his eye ,0
what this ,0
numbers and letters ,0
there one ,0
one two that all ,0
one two where three ,0
where one ,0
one two three four five ,0
six ,0
hey this is the letter in my name ,0
and then this one ,0
hey this one isn the letter in my name ,0
what ,0
no remember ,0
what this ,0
there lots of cool things in there ,0
and up there is is the button things ,0
it was it for pressing buttons ,0
yeah and ,0
yeah and you have to press the one button right on the yellow one ,0
but if it the yellow you have to press on the right ,0
what this ,0
it little bunny with big fat tail ,0
I can do this all by itself ,0
bang ,0
hey this is the one in my name too ,0
that the letter in my name too ,0
okay ,0
where r ,0
yeah ,0
where a ,0
i ,0
what this ,0
what is this one ,0
where l ,0
This is l ,0
p r t x z ,0
what is this what is this for ,0
iron ,0
no for the clothes ,0
the clothes you dress up on ,0
this is another hammer ,0
one two three ,0
have to put one first this one ,0
one two here three ,0
three ,0
no this isn Easter ,0
this isn a Easter ,0
get to the other houses ,0
okay ,0
one one two three ,0
six ,0
we can get through this ,0
a car can crash into it ,0
gonna knock it down pss ,0
when when that gets taller ll knock it down ,0
don knock it ,0
gonna knock it with hammer ,0
hey wanted to crash into ,0
stop ,0
oh blast ,0
fixing this house ,0
this is firetruck ,0
it can work anywhere ,0
I fell ,0
stories ,0
this is for the buttons ,0
these is for the lighting up adj things ,0
yeah and also the juices ,0
I want stickers ,1
I want stickers ,1
stop ,1
s o ,1
yeah ,1
look ,1
look me ,1
look me ,1
w ,1
waigi ,1
w gi ,1
wiggle ,1
j ws ,1
pet ni ,1
jiggle ,1
jump up ,1
s ,1
silly ,1
Willy ,1
prance ,1
prance ,1
underwear ,1
 n ,1
 o ,1
t i d s ,1
button ,1
d wo ,1
w on h ,1
on clothes ,1
clothes ,1
pa pabier ,1
mother ,1
f w ,1
pull ,1
up the socks tie up the shoes ,1
ka them on ,1
Aunt Sharon ,1
Aunt Sharon house ,1
yeah ,1
 house ,1
d ,1
Jessie ,1
d stini ,1
dance ,1
which ,1
with me and will dance with you ,1
they re dancing ,1
we turn the page ,1
should read ,1
 ts kaun ,1
good night gorilla ,1
good night gorilla ,1
good night gorilla ,1
gorilla ,1
grandfather ,1
don mai grrrr rrzzzu ,1
a key ,1
stealing the key ,1
dlat ,1
it unlocked ,1
well ,1
na ,1
in ,1
nar ant ,1
good night elephant ,1
it locking ,1
nnn ,1
good night lion ,1
out ,1
n locking the door ,1
open the cage of giraffe ,1
open the cage ,1
good night hi ,1
hyena ,1
good night giraffe ,1
opening ,1
good night reare ,1
good night armadillo ,1
l in the house ,1
a man ,1
our house ,1
d ur ,1
you re in the animals house ,1
they re inside of our house ,1
in your bed ,1
and your monkey on the man bed ,1
good night daii ,1
good night dear ,1
good night ,1
too dark ,1
some ,1
all dark ,1
the animals ,1
the dear ,1
see the dear ,1
good night gorilla ,1
good night zoo ,1
good night ,1
good night ,1
the light off ,1
mouse and monkey ,1
zrrr ,1
good night gorilla ,1
zzz ,1
tren de ,1
tuesday ,1
tuesday ,1
tuesday ,1
watch ,1
watching ,1
w gz ,1
tuesday ,1
tuesday ,1
ibnn ,1
awoj n ,1
around ,1
e k ,1
eight ,1
eight ,1
the lizard ,1
turtle and lizard ,1
frogs ,1
the lizard ,1
they re klamand ,1
frogs ,1
frogs ,1
upping ,1
wires ,1
birds ,1
flying ,1
fly ,1
yeah ,1
in the our house ,1
houses ,1
eleven twenty one ,1
p ,1
yeah ,1
oh ,1
sandwich ,1
man ,1
man eating man eating ,1
a ghost ,1
frog scared ,1
a ghost ,1
a chimney comes out ,1
a ghost ,1
a ghost ,1
the frogs ,1
frog licking it ,1
the picture ,1
a cat ,1
rain ,1
rain ,1
a dog ,1
eating ,1
no ,1
som si ,1
frogs ,1
a doggie eating them ,1
dogs ,1
a lake ,1
yeah ,1
yeah ,1
mom ,1
swimming ,1
jumping ,1
m ,1
happy and ,1
jumping ,1
happy and yeah ,1
mad ,1
yeah ,1
the tow truck and ambulance ,1
 rvm ,1
ambulance ,1
tow truck ,1
wok car ,1
ImIwiEnz ,1
no l in here ,1
oh ,1
 ks tu s k di n ,1
the pig eating rooster ,1
eating hen ,1
yeah ,1
wow ,1
yeah ,1
in the bus ,1
in the dog bus ,1
n dogs ,1
and here ,1
g laiin ,1
ride ,1
yeah ,1
yeah ,1
in the pickup truck ,1
yeah ,1
a dogs ,1
black white ,1
black orange ,1
bow ,1
hound ,1
a hat ,1
construction worker ,1
a wrench ,1
yeah ,1
saw ,1
yeah ,1
keep tower ,1
there ,1
there ,1
keep out ,1
yeah ,1
there ,1
keep in the barn ,1
no ,1
a crab in the beach ,1
cock doodle doo ,1
horse ,1
neigh ,1
on the beach ,1
no ,1
on the tower ,1
can go on there ,1
horse can in the barn ,1
fence ,1
fence ,1
I got fence ,1
fence ,1
there ,1
keep out ,1
keep out ,1
horsie ,1
neigh ,1
yeah ,1
eeee ,1
do you walk ,1
a saddle ,1
neigh ,1
oh no ,1
in the field ,1
rocking chair ,1
indoor horse ,1
be Matthew bee ,1
we we have wheels in our Lego box ,0
I never saw this thing before ,0
I never saw that thing before ,0
whose house is it ,0
I know ,0
who likes that who likes that teddy bear ,0
who likes that teddy bear ,0
yeah ,0
well we got trucks at home and hammer ,0
yeah ,0
yeah but it doesn have like these things in it ,0
yeah because because it got out ,0
construction workers wear hats on ,0
hey lookit ,0
lookit ,0
who ,0
yeah ,0
yeah hey lookit ,0
Oscar The Grouch just just likes yucky things like ,0
yeah ,0
yeah but Elmo just likes not yucky things like ,0
yeah because he likes nice things like ,0
yeah that ,0
no ,0
he red ,0
all his body is red ,0
yeah ,0
lookit this toy ,0
yeah ,0
yeah it a heavy train ,0
yeah ,0
yeah because when hold it it pretty heavy ,0
yeah ,0
Jesse friend vi has this ,0
yeah ,0
yeah yeah but it only for girls to play with ,0
because ,0
because hers opens and shuts ,0
that why it only for girls ,0
because Olivia she likes to share her ,0
Olivia mean to me ,0
she so mean to me ,0
yeah ,0
yeah ,0
oh that a one to like get things off ,0
because if you wanted to break this then you couldn right ,0
because it sticks closer to this ,0
yeah ,0
yeah maybe ,0
yeah ,0
and think it hurts ,0
yeah ,0
yeah because it very hard ,0
because if it if you re very big then you ,0
do our things there ,0
that she keeps it in there ,0
yeah ,0
look what ,0
yeah ,0
hey that looks like castle ,0
yeah ,0
horse ,0
I gonna push this ,0
ai ,0
look how big she got ,0
hi ,0
they do kiss ,0
mean dog ,0
you re mean dog ,0
lookit she has mad face on the other cheek ,0
she has mad face m look at her ,0
no ,0
because look at that mad face ,0
lookit her mad eyes too ,0
yeah and this is the big dog isn it ,0
it bigger than her isn it ,0
my sister is like five ,0
yeah ,0
yeah she bigger den me ,0
yeah because might be ,0
did say whether d be going to Darien Lake ,0
and know what ,0
did say wed have stap nighttime pants ,0
I have star nighttime pants ,0
well ,0
well well my well when it nighttime wear my star nighttime pants ,0
yeah yeah because they re really little ,0
no ,0
yeah ,0
yeah ,0
yeah maybe some are very big ,0
maybe some are this big ,0
yeah ,0
lookit she can turn around ,0
yeah and these things move ,0
lookit this ,0
yeah ,0
yeah ,0
yeah ,0
only mom and dad use dem ,0
mom and dad use them to clean it ,0
hey maybe that cat lives in there too ,0
that cat ,0
yeah ,0
yeah yeah because dogs don get along ,0
yeah because maybe know what ,0
on on on like cat but he fought with monster know what ,0
tiger fought with grizzly bear but wasn and he fought with tiger but wasn it was just pig ,0
but he but didn like to stay in the mud ,0
he didn like any mud ,0
it the TV show ,0
and it ,0
lookit he really big ,0
yeah ,0
hey lookit that bee ,0
lookit this is the person and that bee stings ,0
yeah ,0
lookit can go like that ,0
he can look on the ground too ,0
lookit that mad face ,0
this mad face ,0
happy ,0
lookit this car ,0
the slow car ,0
cool ,0
what ,0
no it ,0
but it not ,0
but it not saw ,0
lookit this man ,0
yeah ,0
yes ,0
hey don have another finger ,0
bzz bzz bzz bzz bzz bzz ,0
bzz bzz bzz bzz bzz bzz ,0
bzz bzz bzz bzz bzz bzz ,0
you know what ,0
can you believe rabbits are scared of mans ,0
if you have carrot for the rabbit then he not scared of you ,0
yeah ,0
if it a big carrot then it not scared of you ,0
it ,0
okay now you can eat the bee ,0
no they just eat carrots ,0
and they eat cooked carrots ,0
so who how many foods do they eat ,0
they can break this tooth ,0
once broke ,0
hey ,0
what this ,0
know what once girl said what you do and then he said he was just joking ,0
wait how about you take all of the things out of the puzzles and then hey ,0
how can we take this out ,0
well blocks are help you learn the letters ,0
no don know all of them ,0
hey this this is something that you cut something off ,0
it a flying man though ,0
it a owl ,0
actually it a butterfly ,0
wanna see ,0
what inside ,0
I wanna see inside ,0
yes ,0
a cow ,0
and one dinosaur ,0
rr ,0
and here another dinosaur ,0
rr ,0
a brontosaurus ,0
and another brontosaurus ,0
yeah got lots of them ,0
uhhuh don have cows ,0
uhhuh ,0
my grandpa got some cow ,0
got one being born and one nothing else ,0
and new baby colt ,0
lookit this racecar ,0
see it not same see ,0
vroom ,0
what big boy ,0
no not yet ,0
vroom ,0
what is this ,0
I don know ,0
yep think so ,0
that ,0
blocks ,0
two dinosaurs ,0
rr ,0
t rex ,0
rr ,0
what inside here ,0
toys ,0
sure ,0
oh dinosaurs are gonna eat them ,0
yeah ,0
eat plants and toys ,0
you have to do it really hard ,0
that the way it goes ,0
this way ,0
mhm ,0
it don works ,0
go open the door ,0
this one ,0
this one goes in that one ,0
and don fits ,0
the tree is too big ,0
wanna wear it ,0
yeah ,0
yeah ,0
can to go with the truck ,0
yeah ,0
vroom ,0
gonna wrench it wrench it right here ,0
and sawed it ,0
yeah ,0
got this ,0
no don need it ,0
I don need it ,0
no ,0
sure ,0
I ready ,0
that many ,0
that a good screwdriver ,0
let fix it ,0
where the tools ,0
you get this one this one ,0
sort of ,0
well yeah ,0
it a ball ,0
it a silly ball ,0
yeah ,0
this color that color this color all the colors are silly to throw ,0
no ,0
no ,0
all right let fix this ,0
now we ll saw it ,0
and you measure it ,0
thirty dishels forty inch forty five ,0
no ,0
like this might be vroom ,0
ai wantch catch ,0
no the big one gonna go up there ,0
the measure ,0
what ,0
it going to make delivery like cookie ,0
yeah ,0
catch it ,0
a baby truck ,0
and p ndiya and ,0
I dunno ,0
horse ,0
I know what that is throwit ,0
no ,0
sure we got all these toys out ,0
a bumblebee ,0
lookit baby hammer ,0
bzz ,0
no ,0
yes ,0
hey big rex ,0
rr ,0
on the boat thing ,0
here another ,0
I don know ,0
I don know too ,0
the dinosaurs gonna eat the bumblebee ,0
rr ,0
I want it ,0
hungry vroom ,0
a giraffe ,0
he gonna eat the giraffe ,0
I just gonna eat him ,0
good night gorilla ,0
I don know ,0
a monkey ,0
yeah ,0
what are those ,0
keys ,0
got his keys ,0
I don know ,0
no ,0
I don know ,0
yeah ,0
elephant ,0
an elephant ,0
I don know ,0
no ,0
he got out of his cage ,0
I don know it gonna walk that lion ,0
I don know ,0
going to do something ,0
him do something terrible ,0
the the bumblebee still will eat him ,0
he gonna take his keys ,0
he gonna eat it ,0
no ,0
I gonna ,0
going ,0
go inside there and cut the knife ,0
I don know let find out ,0
I don know let find out ,0
let find out ,0
in their bedroom ,0
the zookeeper ,0
the mender ,0
uhhuh ,0
train ,0
mhm ,0
mhm ,0
hm ,0
hm ,0
hm ,0
what gonna make up place ,0
just can make up place ,0
just can make up place ,0
mhm ,0
toy ,0
horn ,0
bird ,0
Big Bird ,0
mhm ,0
no ,0
dunno ,0
no ,0
hm ,0
truck ,0
red ,0
what does it do ,0
what does it do ,0
I don know ,0
mhm ,0
yeah ,0
mm don remember ,0
no ,0
hm ,0
hm ,0
mhm ,0
this one ,0
mhm ,0
bear ,0
I don know ,0
yeah ,0
jumping ,0
on that ,0
dinosaur ,0
I don wanna say it ,0
I don wanna say it ,0
because don want to ,0
mhm ,0
Daddy ,0
no ,0
walking ,0
I don know ,0
no ,0
putting on his shoes ,0
why ,0
why are the mommy and daddy there ,0
yeah ,0
why ,0
yeah ,0
I don know ,0
hm ,0
yeah ,0
I don know ,0
no ,0
I don know ,0
why ,0
yeah ,0
hm ,0
what ,0
hm ,0
yeah ,0
I don know ,0
yeah ,0
moon ,0
yeah ,0
cow ,0
jumping over the moon ,0
mhm ,0
I don wanna do it ,0
mhm ,0
bears ,0
I don know ,0
well what do they do ,0
yeah ,0
yeah ,0
I don know ,0
well how do they play the game without table ,0
yeah ,0
maybe they re just resting ,0
yeah ,0
yeah ,0
yeah ,0
yeah ,0
okay ,0
mhm ,0
just one cat ,0
just one ,0
Tom ,0
he has stripes ,0
sometimes ,0
sometimes we we do ropes and things ,0
mhm ,0
that means we play with him ,0
my brothers and sisters ,0
two ,0
rocking chair ,0
no ,0
good night moon ,0
I don know ,0
well why is he ,0
yeah ,0
I don know ,0
he wasn tired ,0
bears ,0
playing game ,0
I thought they were resting ,0
yeah ,0
yeah ,0
I don know ,0
oh socks ,0
good night ,0
he not tired ,0
but it still dark out ,0
yeah is he still has to sleep ,0
even though he not tired ,0
yeah ,0
house ,0
mouse ,0
brush ,0
no ,0
yeah ,0
he eating ,0
the mouse ,0
air ,0
I think he is ,0
that is just play house ,0
no ,0
we have just dollhouse ,0
I want some of the toys ,0
ah ,0
I think it is ,0
yeah ,0
mhm ,0
mhm ,0
circle ,0
this is where his foot goes ,0
I have opened it ,0
look at this ,0
 open it ,0
have to open it up and see ,0
still door ,0
why is there door ,0
why there door ,0
yeah ,0
see ,0
see ,0
all the pieces ,0
yeah ,0
one ,0
 p have we re having fun ,0
yup ,0
put them in the put them in the door ,0
mhm ,0
one door ,0
one in the door ,0
one in the door ,0
one in door ,0
they come back out ,0
okay ll close the door ,0
now put this away ,0
guess ,0
guess what have ,0
this ,0
yeah ,0
we should ,0
get one more ,0
more six ,0
what is this we ,0
yeah ,0
this book ,0
yup we should ,0
and there there one ,0
one book ,0
see ,0
one book ,0
this table right here ,0
see ,0
see its table ,0
sit in this table ,0
see this ,0
yup ,0
see ,0
see ,0
yup ,0
it called good night ,0
yeah ,0
j I read that one at home ,0
yeah ,0
a gorilla with key ,0
with his flashlight ,0
here one more letter ,0
there go ,0
see ,0
look ,0
wanna see something else ,0
look at this ,0
yeah ,0
yup ,0
we re having lot of fun aren we ,0
there key ,0
he locking ,0
why ,0
he unlocking the cage ,0
mf banana ,0
yeah ,0
the ,0
the mouse the mouse the mouse ,0
what is that ,0
yup ,0
going down ,0
there we go ,0
he take the keys ,0
yup ,0
and he unlocked the elephant cage ,0
he opened the lion cage ,0
they opened all the cages ,0
that one the hyena ,0
there it is ,0
he opened that cage too ,0
he opened it ,0
what are these guys do ,0
hm ,0
scoot back ,0
they re going back home ,0
to the zookeeper house ,0
inside ,0
why ,0
they do ,0
no ,0
yeah ,0
good night ,0
he going to bed ,0
oh let me see if can find any more thing ,0
this is funny thing ,0
see this ,0
to take all the pieces out ,0
yup ,0
now what is this ,0
see ,0
it fits ,0
put the eye back in ,0
put the eye back in ,0
and there more eye ,0
there a new eye ,0
there a new eye ,0
d a new eye d ,0
what is this ,0
yeah ,0
there it is ,0
alright ,0
now what ,0
now we put it away ,0
now put this away ,0
put all these stuff away ,0
yeah ,0
some dese ,0
some of these ,0
yeah ,0
hiar ,0
yeah ,0
brrr ,0
you ,0
they should go back ,0
back where we were ,0
in the house they go ,0
close the box ,0
close the house ,0
does it do ,0
there now it fits ,0
what in this box ,0
yeah ,0
don put away Lammie because he my good friend and like him ,0
look at this table ,0
b ,0
yup ,0
make faces in the mirror with me ,0
let do that ,0
do make faces in ,0
yeah ,0
me ,0
myself ,0
no ,0
and you re making my face ,0
yeah ,0
and another book ,0
about cars ,0
yeah ,0
see these cars ,0
look ,0
yup we should ,0
yup ,0
there cars everywhere ,0
yup ,0
a dumptruck ,0
and gas truck ,0
yeah ,0
that a ,0
brrrr ,0
no ,0
w let put it back ,0
what now what are you doing ,0
no we can put that away ,0
bzz bzz ,0
no ,0
yeah ,0
bzzz bzzz bzzz ,0
yeah ,0
it flying ,0
no ,0
let put that back ,0
no put everything back ,0
because we re all done with them ,0
we re all done with them ,0
shelf ,0
and that one the bed ,0
nau sai bed ,0
there bunkbeds ,0
yeah ,0
on camper ,0
with bunkbed ,0
no ,0
on camp ,0
on camper ,0
on ,0
no ,0
hm ,0
there was potty in the campers ,0
no there a potty in the camper ,0
because the truck the wheels weren on and it supposed to be attached to car ,0
no ,0
no it was at ,0
it was the pu ,0
see we re playing all we re bringing all the markers in ,0
yeah ,1
yeah ,1
I found yellow and the white spot right next to it ,1
yeah ,1
I found the black ,1
n the yellow ,1
a red ,1
know which one color ainu ,1
I see black spot ,1
so you put it next to the other black one ,1
a little bud ,1
I gonna put it right next there ,1
it the same ,1
and that one ,1
we need two more ,1
yeah ,1
now we need one more ,1
remember we looking at those yucky things today ,1
yeah ,1
right up there ,1
we saw them yesterday ,1
the day we gimme my surprise ,1
I don know ,1
I don know what this is ,1
no ,1
I don know ,1
yeah ,1
big ,1
big ,1
sleeping ,1
no that not rake it a brush ,1
you know what m gonna find ,1
I know that ,1
I find ,1
I don know ,1
I find the hat ,1
I don know n we ,1
I going to find you know where it is lE ,1
I going be four inches ,1
that for babies ,1
could you close the door ,1
yeah ,1
wait ,1
 alien ,1
use the brush ,1
let me think about it ,1
brush and brush your teeth ,1
and the hot water in the cup ,1
hot water in the cup ,1
yeah ,1
drink ,1
go to bed ,1
remember you were turning off that thing today ,1
that thing and you saw it ,1
the thing it was turning on ,1
yeah ,1
yeah ,1
it was game was played like last time ,1
oh ,1
it swimming class ,1
I never went to swimming class ,1
yeah ,1
holding somebody hand ,1
somebody scared swimming ,1
was somebody ,1
you see that boy ,1
he don wants to go in ,1
no ,1
no ,1
I don know ,1
I but don know how to swim ,1
so gotta hold each kids hands ,1
and that one bz slide ,1
going swimming ,1
yeah ,1
right there ,1
yeah ,1
kevs playing in the tent ,1
hm ,1
yeah ,1
we ,1
hide ,1
we we killed each bugs ,1
not me Rustin ,1
yeah ,1
a boy ,1
you know what that boy doing ,1
sitting down cause he don want to go in the water now ,1
and that man is looking at the paper ,1
and the ,1
and that one is not scared of all ,1
happy ,1
just like ll see you again tomorrow and know which one m gonna be ,1
angry or happy ,1
or sad ,1
my mommy give me lollipop ,1
my mommy hit me in the mouth ,1
I dropped my ice cream down and cried ,1
so somebody stepped on the ice cream cone ,1
I don know ,1
you know that boy getting out ,1
because he tired ,1
you know that boy doing ,1
he going to jump ,1
he don wants to jump in the water ,1
because he so scared just look ,1
he don is wants to go in the water ,1
and those ones are playing Ring Around In The Rosy out there ,1
and they re playing the sandbox ,1
hanging on the things right here ,1
yeah ,1
s nainj ro lu street ,1
swim and play Ring Around The Rosy ,1
with my ,1
Stephanie and Jamal and Darren James ,1
you know at my school ,1
the whole world ,1
Stephanie and Darren James ,1
and that man taking shower ,1
yeah ,1
I want to look at the frogs ,1
hey that not frog ,1
I maybe he sees three fishes ,1
the green one and the purple one and the green one ,1
and two green ones ,1
lilypads on the frog ,1
yeah ,1
